X,Bintang,Pengguna,Komen,Tanggal
417,Diberi rating 2 bintang dari 5 bintang Diberi,Kim Alfiah,"saya mau tanya Kemarin tgl 21 feb saya mengajukan KTA tanpa kartu kredit di cermati melalui bank permata Cara mengecek apakah di setujui atau tidak itu bagaimana? Saya mengajukan lewat aplikasi online Katanya klo di setujui akan cair dalam waktu 24 jam Nah ini udah sampai estimasi waktu perkiraan, a...
Ulasan Lengkap",02/22/2019
418,Diberi rating 5 bintang dari 5 bintang Diberi,Achmad Fauzan,"Ko sampai sekrng saya masih menunggu persetujuan instansi dari amar,, sampai kapan nih saya mengajukan tgl 12 november tapi belum ada tanda tanda baru,, mohon dengan sangat bantu agar lebih bisa cepat diproses",11/19/2018
419,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,"Di AKULAKU saya di ACC bahkan ada juga di amplikasi pinjaman tunai dan selalu tepat waktu utk pembayarannya malah sebelum jatuh tempo sudah terbayar utk menjaga nama baek saya.. tapi kok di amplikasi ini tdk di acc alasanya apa coba.. ??? cek itu atas nama saya di AKULAKU dan Amplikasi pinjaman Tuna...
Ulasan Lengkap",01/03/2019
420,Diberi rating 2 bintang dari 5 bintang Diberi,Adji Jangkung,"pengajuan saya dari tgl 10 mei sampai sekarang belom ada kepastian juga,kalau memang tidak d setujui gpp jangan di gantung seperti ini, daripada menunggu terus,sttus nya masih proses validasi terus ..",05/28/2019
421,Diberi rating 1 bintang dari 5 bintang Diberi,Ridhairin Ridoeansyah,Aplikasi aneh. Gaada kabar udah hampir sebulan tulisannya menunggu validasi terus. Awas aja kalo sampe ada penyalahgunaan data! 🐷,09/11/2019
422,Diberi rating 1 bintang dari 5 bintang Diberi,Sahrul Kubil,"Ko ga ada kejelasan pengajuan KTA dari KEB BANK HANA, rekomendasi dari apk cermati. Paling tidak ada telpon atau apa gitu, ini ko status masih validasi aja. Ampe ubanan nunggu kelamaan",10/29/2019
423,Diberi rating 5 bintang dari 5 bintang Diberi,Samsuri ID,Semoga pengajuan kredit saya cepat di proses .soalnya dari tgl 8 sampai sekarang saya tetap menunggu.walaupun pengajuan saya menunggu persetujuaan,11/28/2019
424,Diberi rating 3 bintang dari 5 bintang Diberi,ahmad mustakim,"Saya kasih bintang 3 kenapa saya kasih bintang 3 karna saat saya mau liat proses selanjut nya di acc apa ngga nya gatau karna aplikasi nya error atau entah gimana saya gatau soal nya semenjak diperbarui malah error ngga jelas. Saya padahal cape ngajuin berulang kali sampe ketemu kurir cermati, nelpo...
Ulasan Lengkap",11/29/2019
425,Diberi rating 1 bintang dari 5 bintang Diberi,osela ebi,Sudah di minta ktp cc npwp masi blm di acc sampai beberapa kartu cc saya ajukan ttp tidak ada satupun yang di acc..... luar biasa,01/16/2020
426,Diberi rating 1 bintang dari 5 bintang Diberi,Niken Arieyani,"Ini aplikasi cuma ambilin data doang kali ya, saya uda pengajuan KK org dtg uda ambil data uda sebulan lbh ga ada dr 1 bank pun tlp ke saya untuk konfirmasi atau verivikasi data... Klo cm php aja mending dibuangin aja datanya jgn salah gunakan data saya ya!!!",11/13/2018
427,Diberi rating 1 bintang dari 5 bintang Diberi,Andi Mulyana,"aplikasi ga jelas sangat mengganggu , hati2 penipuan , yg udah ngasih data aja tuh pada blm cair udh 2 blan , lah sy bilang cancle mlah mksa mau ambil dokumen sy , tuh urus dlu yg udh pada ngasih dokumen tp blm cair , ga usah mksa mau ambil dokumen sy , berkali2 bilang cancle tp mksa nagih mnta doku...
Ulasan Lengkap",02/26/2019
428,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,kenapa pengajuan atas nama akmadi. yang di KTA bank panin sama bank KEB HANA.kelanjutan nya gimana .masa proses nya begitu lama .masih menunggu validasi sampai kapan .kalo emang ga di acc sama di acc.kan bisa lewat email sama nomor tlpn . tolong dah kaaih kejelasan yang jelas,03/22/2019
429,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,"udah hampir setengah tahun pengajuan pinjaman tpi masih di proses aja, dan ga ada kejelasan nya sampai sekarang !!!!! Aplikasi ga jelas cuma mau ngambil data orng aja !!!",12/18/2018
430,Diberi rating 5 bintang dari 5 bintang Diberi,Awie_jeck Awie,"Saya beri 5 bintang karna cs nya ramah, semoga pengajuan saya diacc. Dan bisa membantu kebutuhan kekurangan renovasi rumah...",09/14/2019
431,Diberi rating 1 bintang dari 5 bintang Diberi,RaiRaka Phone Cell Morosono,Baru mo instsl liat keluhan yg udeh ngajuin bintang 1 semua...sue dah mna data udah sebagian masuk ...tolong min apua dara kita batal ngajuin kita ribet mumet liatnye proses ngajuin aje ribet gmn ntar,02/24/2020
432,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,"Tadinya tidak percaya kalau cermati bisa membantu untuk pembuatan Kartu kredit, tp setelah sy upload dokument permohonan dan melengkapi persyaratan benar-benar terlealisasi, terima kasih cermati, sukses selalu...",02/14/2019
433,Diberi rating 1 bintang dari 5 bintang Diberi,ribot cs,dari bulan juli smp hari gini bln november dan coba ajukan kembali tetep aja ilang bgtu aja tanpa kabar...promo aja banyak...iklan aja banyak...tapi tetep aja...php tingkat dewa...apa cuma mau nyolong data aja ya,11/20/2018
434,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,"knpa blum ada penjelasan katanya prosesnya ga lama, ga ribet, cepat & terpercaya namun buktinya tak pernah berhasil, bilangnya tinggal nunggu validasi doang nyatanya sampai saat ini tak pernah ada bukti terpercaya, lelah menunggu kepastian yg tak pernah pasti mmbantu tapi hanya sebuah harapan palsu....
Ulasan Lengkap",01/21/2019
435,Diberi rating 1 bintang dari 5 bintang Diberi,Willy Fransiskus,"syarat mudah,mga di ACC,,Terimakasih cermati,,,pas disaat mendesak.prosenya berapa minggu min? kalo ujung2 nya ditolak terus terang aja,,, platformnya jangan cuma pajangan doang,PHP,,,, kecewa,,* aja",05/30/2019
436,Diberi rating 5 bintang dari 5 bintang Diberi,Teddy Konadi,"sy mau tanya tentang pengajuan KTA KEB Hana Bank yg sy ajukan di tgl 10 maret 2019 dgn order id : WVZ3ETPP masih menunggu proses valudasi hingga kapan y? selebihnya sy senang dgn CS dari cermati yg ramah serta petugas yg mengambil dokumen fisik jg sabar menunggu ketika sy tidak ad di rumah. pertahan...
Ulasan Lengkap",03/18/2019
437,Diberi rating 1 bintang dari 5 bintang Diberi,abdul jabbar lsj,"Aneh ga pernah di acc di sini.. di platform lain mah di acc terus padahal.. bahkan 10 aplikasi pasti di acc terus,disini doang yang ga pernah.. nunggu nya lama,di acc jg engga,parah !!",12/05/2018
438,Diberi rating 1 bintang dari 5 bintang Diberi,Ervin Suharja,aplikasi nya gk jelas complain email gk ada tanggapan...udah ajuin data udah komplit menunggu validasi doang wkwkwkw jangan jangan mau curi data data konsumen apa..mohon bantu penjelasan nya agar yg download aplikasi ini tidak menyesal..terimakasih,06/05/2019
439,Diberi rating 1 bintang dari 5 bintang Diberi,End'Troex Channel,"percuma bapak bapak ibu ibu sekalian, mau komplain kaya gimana juga malah capek sendiri. saran saya HAPUS APLIKASINYA. susahnya kita bahagianya mereka. Buang jauh2 lain kali klo ada yang mau doenload, JANGAN DIDOWNLOAD. Liat aja semua komentar yang ada. ISINYA KOMPLAIN SEMUA.",07/16/2019
440,Diberi rating 3 bintang dari 5 bintang Diberi,Nana Maulana,kenapa sampai saat ini pengajuan saya masih dalam follow up? kalo tidak di acc tolong kasih tau dan jangan beri harapan palsu pelanggan,10/14/2019
441,Diberi rating 3 bintang dari 5 bintang Diberi,Pengguna Google,"Team cermati semenjak saya daftar di cermati utk pengajuan KTA dan credit card, data saya bocor, banyak sekali pihak asuransi yg gak jelas menelepon tiap hari menawarkan produk, mohon dgn sangat saya sangat terganggu!!! Sesuai kan permintaan pelanggan apa yg mereka inginkan bukan mengajukan kta PHP ...
Ulasan Lengkap",10/22/2018
442,Diberi rating 2 bintang dari 5 bintang Diberi,Adi Nurdiansyah,terimakasih pihak cermati jakarta sudah berusaha membantu. walaupun ditolak tetap berusaha membantu. syarat kartu kredit minim gaji 3 jt. kurir minta slip gaji 5 jt. ga bikin kartu kredit juga ga apa2 ....ga jelas. buang2 waktu.,04/11/2019
443,Diberi rating 1 bintang dari 5 bintang Diberi,andika yoedistira,"payah nie... dah d tlpn tinggal nunggu...katanya ada yg mau datang tanda tangan kontrak saya tunggu"" nymp lima hari g nongol batang hidungnya.... serius g sih mu ngasih pinjeman.... ?? apa cuman mu nyuri data aja... tolong dong min kasoh kejelasan sama nasabah... di apk jg g ada ktrangan CS nya...",02/15/2019
444,Diberi rating 3 bintang dari 5 bintang Diberi,Pengguna Google,"sy mengajukan pinjaman dikebhana bank melalui applikasi ini 1minggu yg lalu.kok smp sekarang belum ada jawaban ya,,, di acc atau gak ! tolong pak admin ditindak lanjuti pengajuan saya. terimakasih",12/11/2018
445,Diberi rating 3 bintang dari 5 bintang Diberi,Muhammad Arif,"saya sudah mengajukan aplikasi sejak tanggal 20 november,tetapi sampai saat ini blm ad kejelasan apakah aplikasi saya diterima atau tidak,sedangkan saya bbrp kali menghubungi cs tetapi tdk bisa.",12/25/2018
446,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,"Sudah hampir 2 minggu sejak pengajuan gak ada kabar ,??????? Katanya data sdh lengkap nanti anda akan dihungungi . . Tp ampe skrg gak ada kabarnya 😒😒😒 Aplikasi gak JELASS 👎👎",09/19/2018
447,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,Selamat Siang saya Tidak mengajukan Kredit melalui Cermati kok tiba2 saya dapat Email pengajuan kredit ya??? wahh bahaya ini ... jgn sampai saya Laporkan yang bersangkutan.. Data2 saya kok ada yang guna???,02/19/2019
448,Diberi rating 3 bintang dari 5 bintang Diberi,Isdenis Setiawan,"Pengajuan dari tanggal 18 november ko sampai sekarang belum ada keterangan di terima atau ngga nya yah, mau nelfon cs gatau no cs nya berapa, tolong dong min lgi urgent nih, semoga bisa membantu. Trmksh",11/28/2018
449,Diberi rating 1 bintang dari 5 bintang Diberi,deni k,"saya melakukan pembelian asuransi mobil dan dijanjikan dapat voucher belanja 200 rb. Akan tetapi ternyata itu bohong dan sampai saat ini tdk dapat voucher tsb. Setelah dikonfirmasi 2 bulan sejak pembelian asuransi tsb jawaban marketingnya bilang ""maaf"" ternyata memang tidak dapat voucher. Jujur saya...
Ulasan Lengkap",07/05/2019
450,Diberi rating 3 bintang dari 5 bintang Diberi,muhammad fauzi,Mudah2an Di ACC. Jgn Seperti Yg Di Sebelah. Tidak Ada Kepastian. Saya Untuk Biaya Sekolah Dan Berobat.,10/05/2019
451,Diberi rating 1 bintang dari 5 bintang Diberi,Fahrul Rahmadika,Tolong dong woi pengajuan gw dari tgl 1 mei 2019 jangan di gantungin .. kalau emng kga bisa minjemin yadh .. aplikasi apaan sih nih ***,12/05/2019
452,Diberi rating 5 bintang dari 5 bintang Diberi,Muklis Syam,Dicoba aja dulu lah. Tar kalo gak sesuai tinggal cabut bintang nya,02/05/2020
453,Diberi rating 1 bintang dari 5 bintang Diberi,Cuan's Channel,ini sama saja seperti sales yg mencari data buat ke kantor saja..mengajukan KTA proses bilang 3-7 hari tapi udh 2minggu lebih ga ada kabar pasti!!!! di setujuin gak di ga di setujuin juga gak..,04/04/2019
454,Diberi rating 3 bintang dari 5 bintang Diberi,Lia Khusna,"Maaf sebelumnya, Ini saya juga lagi butuh banget,mohon jangan di PHP, Kalau pengajuan saya di aCC tolong cepat di konfirmasi,kalau tidak biar saya cari pinjaman lain. Banyak aplikasi yang hanya meminta data tapi hasilnya zonk. Terimakasih mohon maaf",08/19/2019
455,Diberi rating 1 bintang dari 5 bintang Diberi,Alexander Lebeth,"Kenapa pengajuan saya belum juga ada kabar, udah mau 1minggu!! Gimana nih? Nanti saya mau ngajuin ke yang laen di acc, ehh disini juga di acc! Kan repot jadi nya. Tolong kalo gagal2, kalo mau acc2. Jangan ga jelas gini. AKMJ",08/22/2019
456,Diberi rating 5 bintang dari 5 bintang Diberi,sudaryanto ryan,Semoga dengan cermati..langkahku bisa terbantu. Dan saya berharap ini jdi kenyataan. Good cermati.,09/17/2019
457,Diberi rating 3 bintang dari 5 bintang Diberi,Cabe rawit manis,"Saya ngajuin dari tanggal 14 sampai saat ini belum ada kepastian. Bilangnya 3 hari, tapi mana tidak ada kabar di ACC apa tidaknya.. Mau sampai kapan nie..",10/20/2019
458,Diberi rating 5 bintang dari 5 bintang Diberi,Abdullah Is,cermati keren cepat dan ga ribet ok lah.... thanks ya cermati sukses selalu amin.,12/11/2019
459,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,Saya berharap setiap hari tp pasti kecewa setiap liat statusnya masi dalam proses validasi... sekiranya gk di acc y langsung di beritahukan jd biar kita gk berharap setiap waktu... di tlf aja belum sama sekali... haduhh,11/15/2018
460,Diberi rating 2 bintang dari 5 bintang Diberi,Shella Nyunyun,"Mengajukan dr tgl 6 september hana bank msa smpe skrng ga da konfirmasiny pas d cek lagi d aplikasi ga bisa krna lgi proses yg sma ..tpi smpai detik ini ga da pihak hana bank kofirmasi..kta permata pun bgtu ga jls bgt ga da konfirmasinya d acc atau tdk..call center cermatinya jga d tlp ga bisa""hadeh...
Ulasan Lengkap",09/24/2018
461,Diberi rating 1 bintang dari 5 bintang Diberi,Dwiyan Vidi Atmoko,aplikasi omong kosong. tipu2 sudah di bayar. tp apa yg saya pesan gk deteng. status cmn di setujui gitu aja. mau komplain gk ada tmpat buat komplain. cm ada cs. cmn jawaban dri cs gk bermutu. dan gk ada solusi... jangan download dech. aayang paket internetnya,07/11/2019
462,Diberi rating 2 bintang dari 5 bintang Diberi,Willis,"Tidak bisa Login bila Mau Login, dimimta nomer hp, email seperti mendaftar?, Tolong diperbaiki, sy sudah punya akun Reg via browser sebelumnya dan sudah verify, di Hp, ditanya nomer hp, di akun browser input mobile number ngk bisa, tolong dibantu solusinya Min🙏",07/15/2019
463,Diberi rating 2 bintang dari 5 bintang Diberi,Shelly utami,"Di mohonkan data saya atas nama sri utami di hapus saja karna saya membatalkan pengajuan pinjaman di sini,sekian dan trima kasih",09/22/2019
464,Diberi rating 2 bintang dari 5 bintang Diberi,Sona Permana,"kalo pengajuan saya di acc saya kasih bintang Full poko nya, tolong dibantu ya cermati soalnya buat biaya pernikahan saya..",09/23/2019
465,Diberi rating 1 bintang dari 5 bintang Diberi,Riyanto Saputra,"Aplikasi sialan gua udah pengajuan dari 19 Oktober 2019 dan 13 november 2019 sama sekali ga ada kejelasannya,,,aplikasi cuma mau ngambil data2 doang sialan",11/23/2019
466,Diberi rating 5 bintang dari 5 bintang Diberi,Mas Boy,Belum tau cara kerjanya sih...tpi saya kasih 5 bintang...siapa tau pinjaman saya di acc dan juga di approv sama hana bank,10/27/2019
467,Diberi rating 1 bintang dari 5 bintang Diberi,Amir Habibie,Ngajuin dah 3 hari... nungguin proses validasi data saja lamaa bgt!! Gk jelas...ga ada konfirmasi selanjutnya.,11/19/2019
468,Diberi rating 4 bintang dari 5 bintang Diberi,Anton Hermanto,Mengapa di status aplikasinya masih proses validasi terus ya... Tolong konfirmasinya...,12/30/2019
469,Diberi rating 1 bintang dari 5 bintang Diberi,Febriyan Fby,"aplikasi ga jelas, udh nunggu lama lama gada satupun pengajuan yg di aprove, kalo memang seperti itu kejelasan nya dong jangan orang suruh nunggu 2bulanan dan akhirnya gada yang di aprove data sudah di siapan sampai"" sudah ambil data fisik ! buang buang waktu orang yg lagi perlu !",02/16/2019
470,Diberi rating 1 bintang dari 5 bintang Diberi,Al Dika,"Gimana nih pengajuan saya mau di acc gak klo nggak bilang dong masa saya pengajuan dari tgl 24 -pebruari-2019,sampai sekarang tgl 26-maret-2019 belum ada kepastian di acc apa nggaknya,tolong dong mohon imponya biar saya gak nunggu yang gak pasti menunggu itu membosan tau.",03/26/2019
471,Diberi rating 1 bintang dari 5 bintang Diberi,Stark J Susilo,"Ga jelas ni aplikasi Pengajuan CC data lengkap , konfirmasi by phone mendadak pas lagi di perjalanan , katanya dihubungi lagi 10 menit eh sampai malam ga ada kabar. tau tau cek aplikasi pengajuan ditolak tanpa keterangan. kalo ga niat bantu gak usahlah nawar2in buang waktu.",04/26/2019
472,Diberi rating 1 bintang dari 5 bintang Diberi,putra chanel,Pengajuan kartu kredit bca flazz atas nama ferdina dwi tristanti. Kok belum ada kejelasan di trima atau tidak... Dan kemarin saya tanyakan di halo bca.. Katanya belum ada pengajuan atas nama tersebut.. Saya lihat di komen kok sama semua keluhanya.... Bener bener mengecewakan,05/18/2019
473,Diberi rating 3 bintang dari 5 bintang Diberi,Pengguna Google,"Kenapa pengajuan saya dari tgl 6 - desember sampai sekarang masih dalam proses padahal data sudah lengkap, kalau di ACC yah di ACC aja tp kalau tidak di ACC yah tolak aja tp tolong kejelasannya mind biar sy tau jadi apa ngaknya, kalau ngak sy daftar di tempat lain aja thanks",01/08/2019
474,Diberi rating 3 bintang dari 5 bintang Diberi,Fidie farah,"1bulan lebih buat nungguin proses CC BRI, setelah konfirmasi ke cermatinya dikatakan bahwa aplikasi ditolak, padahal di sistem cermati masih tertulis menunggu persetujuan instansi terkait. Gak ngerti lagiii",10/24/2018
475,Diberi rating 2 bintang dari 5 bintang Diberi,Lis Lonawati,"saya pernah dowlod aplikasi ni,, yg katanya mudah, dlm 5 menit cair,, nyatanya lama?? sudah saya hapus lgi aplikasinya baru dah ada tlpon bhwa pengajuan saya akan d setujui,,,!!! percuma saya sudah hapus aplikasi bru ada tlpon!!! sekalian aja saya tolak!!. klo bener mu bantu orang susah jagan seteng...
Ulasan Lengkap",06/22/2019
476,Diberi rating 5 bintang dari 5 bintang Diberi,Lucky Pratama,"Lebih baik lengkapin data dan persyaratan dan kasih rating positif, daripada menyerah dan kasih rating negatif.. Sy pernah berulang kali di tolak aplikasi cemati maupun yang lainnya dan coba terus sampai akhirnya Acc.. Terima kasih Cermati karena sudah susah payah membuat system aplikasi, Sy Selalu ...
Ulasan Lengkap",03/20/2019
477,Diberi rating 1 bintang dari 5 bintang Diberi,Bani Alie,"Sangat di Sayangkan Sekali proses yg begitu teramat lama sekali,Pengajuan dri Tanggal 17 januari 2019,Sampai Saat Ini tidak Ada Kelanjutan yg Jelas,Di Acc/Tidaknya Pengajuan Saya,itu Tidak Ada Kabar,Dan Mau Hubungi CS Cermati tetapi tidak tercantum di Aplikasi, Sangat Di Sayangkan,",02/07/2019
478,Diberi rating 3 bintang dari 5 bintang Diberi,Pengguna Google,kalau aplikasi lain di acc atau gaknya pling lama 24 jam udah dpet pemberitahuan .. ini gak tahu batasnya sampai kpan .. gak ada pula batas waktu yg di tetapkan .. jadi kalau kata orang pacaran di gantung .. ujung2 d php in .. perbaikilah .. proses validasinya 1x24 jam .. pasti di kasih bintang 7,02/02/2019
